timestamp,container,cpu_percent,mem_usage_mb
1775190964,bench_sub_20,0.31%,23.44MiB / 15.52GiB
1775190964,bench_sub_19,0.33%,24.05MiB / 15.52GiB
1775190964,bench_sub_18,0.31%,23.89MiB / 15.52GiB
1775190964,bench_sub_17,0.37%,23.9MiB / 15.52GiB
1775190964,bench_sub_16,0.18%,23.71MiB / 15.52GiB
1775190964,bench_sub_15,0.20%,23.79MiB / 15.52GiB
1775190964,bench_sub_14,0.39%,23.71MiB / 15.52GiB
1775190964,bench_sub_13,0.23%,23.87MiB / 15.52GiB
1775190964,bench_sub_12,0.22%,23.28MiB / 15.52GiB
1775190964,bench_sub_11,0.24%,23.89MiB / 15.52GiB
1775190964,bench_sub_10,0.24%,23.85MiB / 15.52GiB
1775190964,bench_sub_9,0.30%,23.78MiB / 15.52GiB
1775190964,bench_sub_8,0.25%,23.75MiB / 15.52GiB
1775190964,bench_sub_7,0.27%,23.7MiB / 15.52GiB
1775190964,bench_sub_6,0.24%,23.65MiB / 15.52GiB
1775190964,bench_sub_5,0.29%,23.61MiB / 15.52GiB
1775190964,bench_sub_4,0.27%,23.62MiB / 15.52GiB
1775190964,bench_sub_3,0.29%,23.31MiB / 15.52GiB
1775190964,bench_sub_2,0.26%,23.5MiB / 15.52GiB
1775190964,bench_sub_1,0.30%,23.09MiB / 15.52GiB
1775190967,bench_sub_20,2.37%,23.75MiB / 15.52GiB
1775190967,bench_sub_19,2.06%,24.36MiB / 15.52GiB
1775190967,bench_sub_18,1.78%,24.16MiB / 15.52GiB
1775190967,bench_sub_17,1.63%,24.28MiB / 15.52GiB
1775190967,bench_sub_16,2.40%,23.96MiB / 15.52GiB
1775190967,bench_sub_15,2.30%,24MiB / 15.52GiB
1775190967,bench_sub_14,1.56%,24.03MiB / 15.52GiB
1775190967,bench_sub_13,1.85%,24.16MiB / 15.52GiB
1775190967,bench_sub_12,2.15%,23.61MiB / 15.52GiB
1775190967,bench_sub_11,1.95%,24.21MiB / 15.52GiB
1775190967,bench_sub_10,1.88%,24.16MiB / 15.52GiB
1775190967,bench_sub_9,2.18%,24.1MiB / 15.52GiB
1775190967,bench_sub_8,1.90%,24.14MiB / 15.52GiB
1775190967,bench_sub_7,1.89%,24.16MiB / 15.52GiB
1775190967,bench_sub_6,1.80%,24.07MiB / 15.52GiB
1775190967,bench_sub_5,1.81%,24.04MiB / 15.52GiB
1775190967,bench_sub_4,1.80%,23.94MiB / 15.52GiB
1775190967,bench_sub_3,1.88%,23.63MiB / 15.52GiB
1775190967,bench_sub_2,1.75%,23.84MiB / 15.52GiB
1775190967,bench_sub_1,1.71%,23.43MiB / 15.52GiB
1775190970,bench_sub_20,2.11%,23.68MiB / 15.52GiB
1775190970,bench_sub_19,1.92%,24.01MiB / 15.52GiB
1775190970,bench_sub_18,1.71%,23.82MiB / 15.52GiB
1775190970,bench_sub_17,1.75%,24.02MiB / 15.52GiB
1775190970,bench_sub_16,1.95%,23.81MiB / 15.52GiB
1775190970,bench_sub_15,1.99%,23.84MiB / 15.52GiB
1775190970,bench_sub_14,1.75%,23.94MiB / 15.52GiB
1775190970,bench_sub_13,1.86%,24.01MiB / 15.52GiB
1775190970,bench_sub_12,1.97%,23.59MiB / 15.52GiB
1775190970,bench_sub_11,1.76%,24.14MiB / 15.52GiB
1775190970,bench_sub_10,1.69%,24.02MiB / 15.52GiB
1775190970,bench_sub_9,2.01%,24.05MiB / 15.52GiB
1775190970,bench_sub_8,1.79%,24.08MiB / 15.52GiB
1775190970,bench_sub_7,1.72%,24.09MiB / 15.52GiB
1775190970,bench_sub_6,1.69%,24.12MiB / 15.52GiB
1775190970,bench_sub_5,1.79%,24MiB / 15.52GiB
1775190970,bench_sub_4,1.77%,23.97MiB / 15.52GiB
1775190970,bench_sub_3,1.76%,23.63MiB / 15.52GiB
1775190970,bench_sub_2,1.73%,23.86MiB / 15.52GiB
1775190970,bench_sub_1,1.72%,23.46MiB / 15.52GiB
1775190973,bench_sub_20,2.90%,23.71MiB / 15.52GiB
1775190973,bench_sub_19,2.78%,24.03MiB / 15.52GiB
1775190973,bench_sub_18,2.30%,23.84MiB / 15.52GiB
1775190973,bench_sub_17,1.85%,24.1MiB / 15.52GiB
1775190973,bench_sub_16,2.45%,23.83MiB / 15.52GiB
1775190973,bench_sub_15,2.47%,23.86MiB / 15.52GiB
1775190973,bench_sub_14,1.97%,23.96MiB / 15.52GiB
1775190973,bench_sub_13,1.99%,24.03MiB / 15.52GiB
1775190973,bench_sub_12,2.34%,23.61MiB / 15.52GiB
1775190973,bench_sub_11,2.22%,24.16MiB / 15.52GiB
1775190973,bench_sub_10,2.23%,24.04MiB / 15.52GiB
1775190974,bench_sub_9,2.46%,24.07MiB / 15.52GiB
1775190974,bench_sub_8,2.02%,24.1MiB / 15.52GiB
1775190974,bench_sub_7,1.96%,24.11MiB / 15.52GiB
1775190974,bench_sub_6,1.96%,24.14MiB / 15.52GiB
1775190974,bench_sub_5,1.97%,24.02MiB / 15.52GiB
1775190974,bench_sub_4,2.04%,23.99MiB / 15.52GiB
1775190974,bench_sub_3,2.06%,23.65MiB / 15.52GiB
1775190974,bench_sub_2,1.93%,23.88MiB / 15.52GiB
1775190974,bench_sub_1,1.97%,23.48MiB / 15.52GiB
1775190977,bench_sub_20,2.26%,23.68MiB / 15.52GiB
1775190977,bench_sub_19,2.47%,24MiB / 15.52GiB
1775190977,bench_sub_18,2.04%,23.82MiB / 15.52GiB
1775190977,bench_sub_17,1.95%,24.07MiB / 15.52GiB
1775190977,bench_sub_16,2.63%,23.8MiB / 15.52GiB
1775190977,bench_sub_15,2.91%,23.84MiB / 15.52GiB
1775190977,bench_sub_14,1.96%,23.93MiB / 15.52GiB
1775190977,bench_sub_13,2.08%,24.01MiB / 15.52GiB
1775190977,bench_sub_12,2.50%,23.59MiB / 15.52GiB
1775190977,bench_sub_11,2.37%,24.14MiB / 15.52GiB
1775190977,bench_sub_10,2.34%,24.01MiB / 15.52GiB
1775190977,bench_sub_9,2.45%,24.05MiB / 15.52GiB
1775190977,bench_sub_8,2.15%,24.07MiB / 15.52GiB
1775190977,bench_sub_7,2.20%,24.08MiB / 15.52GiB
1775190977,bench_sub_6,2.17%,24.12MiB / 15.52GiB
1775190977,bench_sub_5,2.15%,24MiB / 15.52GiB
1775190977,bench_sub_4,2.16%,23.96MiB / 15.52GiB
1775190977,bench_sub_3,2.19%,23.62MiB / 15.52GiB
1775190977,bench_sub_2,2.17%,23.85MiB / 15.52GiB
